日付,出勤時間,退勤時間,休憩時間,実働時間,残業時間
2024-03-01,,,,,
2024-03-02,09:00,18:00,01:00,08:00,00:00
2024-03-03,09:00,18:00,01:00,08:00,00:00
2024-03-04,09:00,18:00,01:00,08:00,00:00
2024-03-05,09:00,19:00,01:00,09:00,01:00
2024-03-06,,,,,
2024-03-07,,,,,
2024-03-08,,,,,
2024-03-09,,,,,
2024-03-10,,,,,
2024-03-11,,,,,
2024-03-12,,,,,
2024-03-13,,,,,
2024-03-14,,,,,
2024-03-15,,,,,
2024-03-16,,,,,
2024-03-17,,,,,
2024-03-18,,,,,
2024-03-19,,,,,
2024-03-20,,,,,
2024-03-21,,,,,
2024-03-22,,,,,
2024-03-23,,,,,
2024-03-24,,,,,
2024-03-25,,,,,
2024-03-26,,,,,
2024-03-27,,,,,
2024-03-28,,,,,
2024-03-29,,,,,
2024-03-30,,,,,
2024-03-31,,,,,
